bloomsize: 536870912 (2^29) insert_size 67108864 (2^26)

counting test:
|------------------------------------+---+-----------+-------------+-----------------+---------------+-------------------+------------+----------------|
| hashes                             | k |  ins time | false pos % | false pos count | fill factor % | fill factor count | err rate % | err rate count |
|------------------------------------+---+----------:+------------:+----------------:+--------------:+------------------:+-----------:+---------------:|
| fnv                                | 1 |  2.843490 |       0.43% |          288720 |         3.16% |          16966752 |     74.72% |       50142112 |
|     jenkins                        | 1 |  5.853514 |      33.82% |        22698901 |        10.62% |          57040083 |     15.00% |       10068781 |
|             murmur64               | 1 |  3.875842 |      11.74% |         7880186 |        11.75% |          63085647 |      6.00% |        4023217 |
|                      elf           | 1 |  2.212532 |       0.00% |               0 |         0.06% |            297664 |     99.56% |       66811200 |
|                          bernstein | 1 |  1.910872 |       0.00% |               0 |         0.21% |           1115136 |     98.34% |       65993728 |
| fnv         murmur64               | 2 |  6.699140 |       1.76% |         1182730 |        14.54% |          78057635 |     41.84% |       56160093 |
| fnv jenkins                        | 2 |  7.656256 |       3.95% |         2649519 |        13.45% |          72204044 |     46.20% |       62013684 |
| fnv                  elf           | 2 |  5.195491 |       0.02% |           10296 |         3.21% |          17254967 |     87.14% |      116962761 |
| fnv                      bernstein | 2 |  4.883351 |       0.02% |           13584 |         3.36% |          18046662 |     86.55% |      116171066 |
|     jenkins          elf           | 2 |  7.462347 |       3.62% |         2427904 |        10.67% |          57306122 |     57.30% |       76911606 |
|     jenkins              bernstein | 2 |  7.845776 |       3.60% |         2417551 |        10.81% |          58036683 |     56.76% |       76181045 |
|                      elf bernstein | 2 |  4.312190 |       0.00% |              98 |         0.26% |           1412175 |     98.95% |      132805553 |
|     jenkins murmur64               | 2 |  8.650673 |       8.79% |         5895584 |        21.13% |         113426085 |     15.49% |       20791643 |
|             murmur64 elf           | 2 |  6.871813 |       1.37% |          920579 |        11.80% |          63348386 |     52.80% |       70869342 |
|             murmur64     bernstein | 2 |  6.637206 |       1.40% |          937815 |        11.93% |          64069711 |     52.26% |       70148017 |
| fnv jenkins          elf           | 3 | 10.895927 |       0.54% |          360014 |        13.50% |          72461572 |     64.01% |      128865020 |
| fnv jenkins              bernstein | 3 | 11.486305 |       0.54% |          362889 |        13.63% |          73169124 |     63.66% |      128157468 |
| fnv jenkins murmur64               | 3 | 12.201458 |       2.20% |         1478744 |        23.62% |         126806775 |     37.01% |       74519817 |
| fnv         murmur64 elf           | 3 |  8.338739 |       0.26% |          171151 |        14.59% |          78312034 |     61.10% |      123014558 |
| fnv         murmur64     bernstein | 3 |  9.355300 |       0.26% |          176407 |        14.72% |          79010609 |     60.76% |      122315983 |
| fnv                  elf bernstein | 3 |  7.115010 |       0.00% |             499 |         3.42% |          18334273 |     90.89% |      182992319 |
|     jenkins          elf bernstein | 3 | 10.564160 |       0.39% |          264287 |        10.86% |          58302163 |     71.04% |      143024429 |
|     jenkins murmur64 elf           | 3 | 12.413494 |       1.86% |         1245758 |        21.17% |         113661023 |     43.54% |       87665569 |
|     jenkins murmur64     bernstein | 3 | 12.667915 |       1.87% |         1256605 |        21.29% |         114305479 |     43.22% |       87021113 |
